	Error
1	0.35860086529564783
2	0.35860086529564783
3	0.35860086529564783
4	0.35860086529564783
5	0.3586066415272879
6	0.3586066415272879
7	0.3586066415272879
8	0.3586066415272879
9	0.3586066415272879
10	0.3586066415272879
11	0.3586066415272879
12	0.3586066415272879
13	0.3586066415272879
14	0.3586066415272879
15	0.3586066415272879
16	0.3586066415272879
17	0.3586066415272879
18	0.3586066415272879
19	0.3586066415272879
20	0.3586066415272879
21	0.3586066415272879
22	0.3586066415272879
23	0.3586066415272879
24	0.3586066415272879
25	0.3586066415272879
26	0.3586066415272879
27	0.3586066415272879
28	0.3586066415272879
29	0.3586066415272879
30	0.3586066415272879
31	0.3586066415272879
32	0.3586066415272879
33	0.3586066415272879
34	0.3586066415272879
35	0.3586066415272879
36	0.3586066415272879
37	0.3586066415272879
38	0.3586066415272879
39	0.3586066415272879
40	0.3586066415272879
41	0.3586066415272879
42	0.3586066415272879
43	0.3586066415272879
44	0.3586066415272879
45	0.3586066415272879
46	0.3586066415272879
47	0.3586066415272879
48	0.358618193990568
49	0.358618193990568
50	0.358618193990568
51	0.358618193990568
52	0.358618193990568
53	0.358618193990568
54	0.358618193990568
55	0.358618193990568
56	0.358618193990568
57	0.358618193990568
58	0.358618193990568
59	0.358618193990568
60	0.358618193990568
61	0.358618193990568
62	0.358618193990568
63	0.358618193990568
64	0.358618193990568
65	0.358618193990568
66	0.358618193990568
67	0.358618193990568
68	0.358618193990568
69	0.358618193990568
70	0.358618193990568
71	0.358618193990568
72	0.358618193990568
73	0.358618193990568
74	0.358618193990568
75	0.358618193990568
76	0.358618193990568
77	0.358618193990568
78	0.358618193990568
79	0.358618193990568
80	0.358618193990568
81	0.358618193990568
82	0.358618193990568
83	0.358618193990568
84	0.358618193990568
85	0.358618193990568
86	0.358618193990568
87	0.358618193990568
88	0.35862974645384804
89	0.35919603706186715
90	0.35919603706186715
91	0.35919603706186715
92	0.35919603706186715
93	0.35919603706186715
94	0.35919603706186715
95	0.35919603706186715
96	0.35919603706186715
97	0.35919603706186715
98	0.35919603706186715
99	0.35919603706186715
100	0.35919603706186715
101	0.35919603706186715
102	0.35919603706186715
103	0.35919603706186715
104	0.35919603706186715
105	0.35919603706186715
106	0.35919603706186715
107	0.35919603706186715
108	0.35919603706186715
109	0.35919603706186715
110	0.35919603706186715
111	0.35919603706186715
112	0.35919603706186715
113	0.35919603706186715
114	0.35919603706186715
115	0.35919603706186715
116	0.35919603706186715
117	0.35919603706186715
118	0.35919603706186715
119	0.35919603706186715
120	0.35919603706186715
121	0.35919603706186715
122	0.35919603706186715
123	0.35919603706186715
124	0.35919603706186715
125	0.35919603706186715
126	0.35919603706186715
127	0.35919603706186715
128	0.35919603706186715
129	0.35919603706186715
